SITE_ID,dataset,start_year,end_year,IGBP,LOCATION_ELEV,LOCATION_LAT,LOCATION_LONG,SITE_NAME,koppen_sub,koppen_main,koppen_name,koppen_main_name,C3/C4,C4_percent,Species Description,Notes,link
AU-Wom,FLUXNET,2010,2014,EBF,705,-37.4222,144.0944,Wombat,15,3,Cfb,Temperate,C3,1.05,,,
AU-Ync,FLUXNET,2012,2014,GRA,,-34.9893,146.2907,Jaxa,7,2,BSk,Arid,mix,14.47,"the grassland is dominated by perennial tussock grasses, such as kangaroo and wallaby grasses","a mixture of C3/C4; kangroo grass is C4, wallaby grass is C3",
BR-Sa1,FLUXNET,2002,2011,EBF,88,-2.85667,-54.95889,Santarem-Km67-Primary Forest,2,1,Am,Tropical,C3,22.61,,,
BR-Sa3,FLUXNET,2000,2004,EBF,100,-3.01803,-54.97144,Santarem-Km83-Logged Forest,2,1,Am,Tropical,C3,0,,,
CA-Man,FLUXNET,1994,2008,ENF,259,55.87962,-98.48081,Manitoba - Northern Old Black Spruce (former BOREAS Northern Study Area),27,4,Dfc,Cold,C3,0,,,
CA-NS4,FLUXNET,2002,2005,ENF,260,55.91437,-98.380645,UCI-1964 burn site wet,27,4,Dfc,Cold,C3,0,,,
CA-NS7,FLUXNET,2002,2005,OSH,297,56.63583,-99.94833,UCI-1998 burn site,27,4,Dfc,Cold,C3,0,,,
CA-Oas,FLUXNET,1996,2010,DBF,530,53.62889,-106.19779,"Saskatchewan - Western Boreal, Mature Aspen",27,4,Dfc,Cold,C3,0.57,,,
CA-Obs,FLUXNET,1997,2010,ENF,628.94,53.98717,-105.11779,"Saskatchewan - Western Boreal, Mature Black Spruce",27,4,Dfc,Cold,C3,0.91,,,
CA-SF1,FLUXNET,2003,2006,ENF,536,54.48503,-105.81757,"Saskatchewan - Western Boreal, forest burned in 1977",27,4,Dfc,Cold,C3,0.07,,,
CA-SF3,FLUXNET,2001,2006,OSH,540,54.09156,-106.00526,"Saskatchewan - Western Boreal, forest burned in 1998",27,4,Dfc,Cold,C3,0,,,
CA-TP1,FLUXNET,2002,2014,ENF,265,42.66093611,-80.55951944,Ontario - Turkey Point 2002 Plantation White Pine,26,4,Dfb,Cold,C3,0,,,
CA-TP2,FLUXNET,2002,2007,ENF,212,42.77441944,-80.458775,Ontario - Turkey Point 1989 Plantation White Pine,26,4,Dfb,Cold,C3,0,,,
CA-TP3,FLUXNET,2002,2014,ENF,184,42.70681111,-80.34831389,Ontario - Turkey Point 1974 Plantation White Pine,26,4,Dfb,Cold,C3,0,,,
CA-TPD,FLUXNET,2012,2014,DBF,260,42.635328,-80.557731,Ontario - Turkey Point Mature Deciduous,26,4,Dfb,Cold,C3,0,,,
CG-Tch,FLUXNET,2006,2009,SAV,82,-4.28917,11.65642,Tchizalamou,3,1,Aw,Tropical,C3,0,,,
CH-Oe1,FLUXNET,2002,2008,GRA,450,47.28583,7.73194,Oensingen grassland,26,4,Dfb,Cold,C3,0.11,a grass-clover mixture of 7 species.,assume C3 since it is a cold region,https://www.sciencedirect.com/science/article/pii/S0167880909001479
CN-Cha,FLUXNET,2003,2005,MF,,42.4025,128.0958,Changbaishan,22,4,Dwb,Cold,C3,12.17,,,
CN-Cng,FLUXNET,2007,2010,GRA,,44.5934,123.5092,Changling,21,4,Dwa,Cold,C3,53.07,?,assume C3 since it is a cold region,
CN-Dan,FLUXNET,2004,2005,GRA,,30.4978,91.0664,Dangxiong,7,2,BSk,Arid,C3,0,? In Tibetan,assume C3 since it is a cold region,
CN-Din,FLUXNET,2003,2005,EBF,,23.1733,112.5361,Dinghushan,11,3,Cwa,Temperate,C3,8.72,,,
CN-Du2,FLUXNET,2006,2008,GRA,,42.0467,116.2836,Duolun_grassland (D01),22,4,Dwb,Cold,C3,8.45,Typical steppe,,https://www.tandfonline.com/doi/full/10.1080/01431161.2019.1587208?casa_token=FRYmqaTAhMYAAAAA%3Axa2_mVoE_uHm9xH4wk5gsUp9rSIorE2ggcOqp1qVXitq6N-qG4G8r9vKCasFeHU7GleIX6LwN5NrMQ
CN-Du3,FLUXNET,2009,2010,GRA,,42.0551,116.2809,Duolun Degraded Meadow,22,4,Dwb,Cold,C3,8.45,,,
CN-Ha2,FLUXNET,2003,2005,WET,,37.6086,101.3269,Haibei Shrubland,23,4,Dwc,Cold,C3,1.07,,,
CN-HaM,FLUXNET,2002,2004,GRA,,37.37,101.18,Haibei Alpine Tibet site,29,5,ET,Polar,C3,1.07,,,
CN-Qia,FLUXNET,2003,2005,ENF,,26.7414,115.0581,Qianyanzhou,14,3,Cfa,Temperate,C3,19.55,,,
CN-Sw2,FLUXNET,2010,2012,GRA,,41.7902,111.8971,Siziwang Grazed (SZWG),7,2,BSk,Arid,mix,0.34,The primary native vegetations of this region are Cleistogenes songorica (C4) and Artemisia frigida (C3).,mix,https://www.tandfonline.com/doi/full/10.1080/01431161.2019.1587208?casa_token=xd2vyw_2Ie0AAAAA%3ALRVT93VlhQsZ6xRWE_TXybEfnfFMGL76ZxG20JB27YhTk2SXbnsFvF1NCGzNfHkcsmexMtYERicN9g
CZ-BK2,FLUXNET,2004,2012,GRA,855,49.49443,18.54285,Bily Kriz grassland,26,4,Dfb,Cold,C3,0,"The observed grass plot was composed by 15 herbal species, dominated by Festuca rubra agg., Hieracium sp., Plantago sp., Agrostis capilaris and Veron- ica chamaedris. ",Festuca rubra (C3),https://www.researchgate.net/profile/Zbynek-Malenovsky/publication/267771524_Field_imaging_spectroscopy_investigating_PRI_spatial_distribution_of_montane_grassland_canopy_in_diurnal_course/links/54b9e7080cf2d11571a4ba8f/Field-imaging-spectroscopy-investigating-PRI-spatial-distribution-of-montane-grassland-canopy-in-diurnal-course.pdf
DE-Lkb,FLUXNET,2009,2013,ENF,1308,49.09962,13.30467,Lackenberg,27,4,Dfc,Cold,C3,0,,,
DE-Lnf,FLUXNET,2002,2012,DBF,451,51.32822,10.3678,Leinefelde,26,4,Dfb,Cold,C3,0,,,
DE-Seh,FLUXNET,2007,2010,CRO,103,50.87062,6.44965,Selhausen,15,3,Cfb,Temperate,C3,0,The test field has a winter wheat/winter wheat/sugar beet rotation,,https://www.sciencedirect.com/science/article/pii/S016819231200189X#!
DE-SfN,FLUXNET,2012,2014,WET,590,47.80639,11.3275,Schechenfilz Nord,26,4,Dfb,Cold,C3,0,,,
DE-Spw,FLUXNET,2010,2014,WET,61,51.89225,14.03369,Spreewald,26,4,Dfb,Cold,C3,0,,,
DE-Zrk,FLUXNET,2013,2014,WET,0,53.87594,12.88901,Zarnekow,26,4,Dfb,Cold,C3,0,,,
DK-Eng,FLUXNET,2005,2008,GRA,10,55.69053,12.19175,Enghave,26,4,Dfb,Cold,C3,0,?,assume C3 since it is a cold region,
DK-Fou,FLUXNET,2005,2005,CRO,51,56.4842,9.58722,Foulum,26,4,Dfb,Cold,C3,0,?,assume C3 since it is a cold region,
ES-Amo,FLUXNET,2007,2012,OSH,58,36.83361,-2.25232,Amoladeras,5,2,BWk,Arid,C3,0,,,
ES-LgS,FLUXNET,2007,2009,OSH,2267,37.09794,-2.96583,Laguna Seca,18,4,Dsb,Cold,C3,1.28,,,
ES-Ln2,FLUXNET,2009,2009,OSH,2249,36.9695,-3.47582,Lanjaron-Salvage logging,18,4,Dsb,Cold,C3,0,,,
FI-Jok,FLUXNET,2000,2003,CRO,109,60.8986,23.51345,Jokioinen,27,4,Dfc,Cold,C3,0,"Agricultural peat soil, drained > 100 years ago. Typical crop rotation: 1 yr of cereals (barley, oat, wheat) with undersown forage grass, after that 3 yrs of foreage grass. No grazing. Forage grass is harvested 3 times/yr.",,https://fluxnet.org/sites/siteinfo/FI-Jok
FI-Lom,FLUXNET,2007,2009,WET,274,67.99724,24.20918,Lompolojankka,27,4,Dfc,Cold,C3,0,,,
FI-Sod,FLUXNET,2001,2014,ENF,180,67.36239,26.63859,Sodankyla,27,4,Dfc,Cold,C3,0,,,
FR-LBr,FLUXNET,1996,2008,ENF,61,44.71711,-0.7693,Le Bray,15,3,Cfb,Temperate,C3,0,,,
FR-Pue,FLUXNET,2000,2014,EBF,270,43.7413,3.5957,Puechabon,8,3,Csa,Temperate,C3,6.59,,,
GH-Ank,FLUXNET,2011,2014,EBF,124,5.26854,-2.69421,Ankasa,2,1,Am,Tropical,C3,53.64,,,
GL-NuF,FLUXNET,2008,2014,WET,50,64.13083,-51.38611,Nuuk Fen,29,5,ET,Polar,C3,0,,,
GL-ZaF,FLUXNET,2008,2011,WET,38,74.48143,-20.55452,Zackenberg Fen,29,5,ET,Polar,C3,0,,,
GL-ZaH,FLUXNET,2000,2014,GRA,38,74.47328,-20.5503,Zackenberg Heath,29,5,ET,Polar,C3,0,,,
IT-CA1,FLUXNET,2011,2014,DBF,200,42.38041,12.02656,Castel d'Asso1,8,3,Csa,Temperate,C3,0.16,,,
IT-CA2,FLUXNET,2011,2014,CRO,200,42.37722,12.02604,Castel d'Asso2,8,3,Csa,Temperate,C3,0.16,"rotation crop grassland/winter wheat, The site was previously managed with a 2-year rotation between a clover grassland (Trifolium incarnatum L.) mixed with ryegrass (Lolium multiflorum Lam.) and winter wheat (Triticum aestivum L. emend. Fiori et Paol.). ",,https://bg.copernicus.org/articles/13/95/2016/bg-13-95-2016.pdf
IT-CA3,FLUXNET,2011,2014,DBF,197,42.38,12.0222,Castel d'Asso3,8,3,Csa,Temperate,C3,0.16,,,
IT-Col,FLUXNET,1996,2014,DBF,1560,41.84936,13.58814,Collelongo,26,4,Dfb,Cold,C3,0.81,,,
IT-Cpz,FLUXNET,1997,2009,EBF,68,41.70525,12.37611,Castelporziano,8,3,Csa,Temperate,C3,0,,,
IT-Isp,FLUXNET,2013,2014,DBF,210,45.81264,8.63358,Ispra ABC-IS,14,3,Cfa,Temperate,C3,4.47,,,
IT-La2,FLUXNET,2000,2002,ENF,1350,45.9542,11.2853,Lavarone2,26,4,Dfb,Cold,C3,3.57,,,
IT-Noe,FLUXNET,2004,2014,CSH,25,40.60618,8.15169,Arca di Noe - Le Prigionette,8,3,Csa,Temperate,C3,0,,,
IT-PT1,FLUXNET,2002,2004,DBF,60,45.20087,9.06104,Parco Ticino forest,14,3,Cfa,Temperate,C3,4.47,,,
IT-Ro1,FLUXNET,2000,2008,DBF,235,42.40812,11.93001,Roccarespampani 1,8,3,Csa,Temperate,C3,0,,,
IT-Ro2,FLUXNET,2002,2012,DBF,160,42.39026,11.92093,Roccarespampani 2,8,3,Csa,Temperate,C3,0,,,
IT-SRo,FLUXNET,1999,2012,ENF,6,43.72786,10.28444,San Rossore,8,3,Csa,Temperate,C3,0,,,
JP-MBF,FLUXNET,2003,2005,DBF,,44.3869,142.3186,Moshiri Birch Forest Site,26,4,Dfb,Cold,C3,0.12,,,
JP-SMF,FLUXNET,2002,2006,MF,,35.2617,137.0788,Seto Mixed Forest Site,14,3,Cfa,Temperate,C3,0.08,,,
MY-PSO,FLUXNET,2003,2009,EBF,,2.973,102.3062,Pasoh Forest Reserve (PSO),1,1,Af,Tropical,C3,0.22,,,
NL-Hor,FLUXNET,2004,2011,GRA,2.2,52.24035,5.0713,Horstermeer,15,3,Cfb,Temperate,C3,0,"grassland/wetland:  Vegetation con- sists of different types of grasses dominant species Holcus lanatus, Phalaris arundinacea, Glyceria fluitans), horsetail (Equisetum palustre, fluviatile) reeds (Phragmites australis, Typha latifolia) and high forbs (Urtica diocia, Cirsium ar- vense, palustre).",,https://bg.copernicus.org/articles/4/803/2007/bg-4-803-2007.pdf
PA-SPn,FLUXNET,2007,2009,DBF,78,9.31814,-79.6346,Sardinilla Plantation,2,1,Am,Tropical,C3,0,,,
PA-SPs,FLUXNET,2007,2009,GRA,68,9.31378,-79.63143,Sardinilla-Pasture,2,1,Am,Tropical,C4,0,from Maoya's notes,,
RU-Che,FLUXNET,2002,2005,WET,6,68.61304,161.34143,Cherski,19,4,Dsc,Cold,C3,0,,,
RU-Cok,FLUXNET,2003,2014,OSH,48,70.82914,147.49428,Chokurdakh,29,5,ET,Polar,C3,0,,,
RU-Ha1,FLUXNET,2002,2004,GRA,446,54.72517,90.00215,Hakasia steppe,23,4,Dwc,Cold,C3,1.15,,assume C3 since it is in a cold climate,
SD-Dem,FLUXNET,2005,2009,SAV,500,13.2829,30.4783,Demokeya,4,2,BWh,Arid,C3,0,,,
SJ-Adv,FLUXNET,2011,2014,WET,17,78.186,15.923,Adventdalen,29,5,ET,Polar,C3,0,,,
SJ-Blv,FLUXNET,2008,2009,SNO,25,78.92163,11.83109,"Bayelva, Spitsbergen",29,5,ET,Polar,C3,0,,,
SN-Dhr,FLUXNET,2010,2013,SAV,40,15.40278,-15.43222,Dahra,6,2,BSh,Arid,C3,0,,,
US-Atq,FLUXNET,2003,2008,WET,15,70.4696,-157.4089,Atqasuk,29,5,ET,Polar,C3,0,,,
US-Blo,FLUXNET,1997,2007,ENF,1315,38.8953,-120.6328,Blodgett Forest,9,3,Csb,Temperate,C3,0,,,
US-Cop,FLUXNET,2001,2007,GRA,1520,38.09,-109.39,Corral Pocket,7,2,BSk,Arid,mix,0,"Vegetation is primarily native perennial C3/C4 grasses with annual ground converge ranging from 8-35%. Leaving the remaining 0-15% coverage to interspersed annual grasses, the remaining 0-15% coverage is occupied by annual grasses.",a mixture of C3/C4,
US-GBT,FLUXNET,1999,2006,ENF,3191,41.36579,-106.2397,GLEES Brooklyn Tower,27,4,Dfc,Cold,C3,0.16,,,
US-GLE,FLUXNET,2004,2014,ENF,3197,41.36653,-106.2399,GLEES,27,4,Dfc,Cold,C3,0.16,,,
US-Goo,FLUXNET,2002,2006,GRA,87,34.2547,-89.8735,Goodwin Creek,14,3,Cfa,Temperate,unknown,1.59,bluff hills pasture and hay field,"cannot find enough information, likely C4",https://acsess.onlinelibrary.wiley.com/doi/10.2134/ael2017.01.0003
US-Ha1,FLUXNET,1991,2012,DBF,340,42.5378,-72.1715,Harvard Forest EMS Tower (HFR1),26,4,Dfb,Cold,C3,0,,,
US-IB2,FLUXNET,2004,2011,GRA,226.5,41.84062,-88.24103,Fermi National Accelerator Laboratory- Batavia (Prairie site),25,4,Dfa,Cold,C4,38.28,,,https://reader.elsevier.com/reader/sd/pii/S0304380014005602?token=E8A8092B21D035375CE75E00E287C213E15FBD17E55A4DB9468C4A45CD6550F7A3CAE2393C01E4169EEAD924A01DCDD0&originRegion=us-east-1&originCreation=20220930231642
US-Ivo,FLUXNET,2004,2007,WET,568,68.4865,-155.7503,Ivotuk,19,4,Dsc,Cold,C3,0,,,
US-KS1,FLUXNET,2002,2002,ENF,1,28.4583,-80.6709,Kennedy Space Center (slash pine),14,3,Cfa,Temperate,C3,0,,,
US-KS2,FLUXNET,2003,2006,CSH,3,28.6086,-80.6715,Kennedy Space Center (scrub oak),14,3,Cfa,Temperate,C3,0,,,
US-LWW,FLUXNET,1997,1998,GRA,365,34.9604,-97.9789,Little Washita Watershed,14,3,Cfa,Temperate,C4,31.01,"The predominant grass, little bluestem (Gramineae Schizachyrium scoparium), ",,https://www.sciencedirect.com/science/article/pii/S0168192300002136?via%3Dihub
US-Lin,FLUXNET,2009,2010,CRO,131,36.3566,-119.8423,Lindcove Orange Orchard,7,2,BSk,Arid,C3,1.56,The experimental site was a citrus orchard about three km west of the UC Lindcove Research and Experiment Station,,
US-Los,FLUXNET,2000,2014,WET,480,46.0827,-89.9792,Lost Creek,26,4,Dfb,Cold,C3,0,,,
US-Me1,FLUXNET,2004,2005,ENF,896,44.5794,-121.5,Metolius - Eyerly burn,18,4,Dsb,Cold,C3,0.03,,,
US-Me3,FLUXNET,2004,2009,ENF,1005,44.3154,-121.6078,Metolius-second young aged pine,18,4,Dsb,Cold,C3,0.03,,,
US-Me4,FLUXNET,1996,2000,ENF,922,44.4992,-121.6224,Metolius-old aged ponderosa pine,18,4,Dsb,Cold,C3,0.03,,,
US-Me5,FLUXNET,2000,2002,ENF,1188,44.43719,-121.56676,Metolius-first young aged pine,18,4,Dsb,Cold,C3,0.03,,,
US-Me6,FLUXNET,2010,2014,ENF,998,44.3232842,-121.6078,Metolius Young Pine Burn,18,4,Dsb,Cold,C3,0.03,,,
US-Myb,FLUXNET,2010,2014,WET,-4,38.049782,-121.76506,Mayberry Wetland,8,3,Csa,Temperate,C3,1.03,,,
US-NR1,FLUXNET,1998,2014,ENF,3050,40.0329,-105.5464,Niwot Ridge Forest (LTER NWT1),27,4,Dfc,Cold,C3,0.35,,,
US-Ne1,FLUXNET,2001,2013,CRO,361,41.16506,-96.47664,Mead - irrigated continuous maize site,25,4,Dfa,Cold,C4,48.91,,,
US-Ne2,FLUXNET,2001,2013,CRO,362,41.16487,-96.4701,Mead - irrigated maize-soybean rotation site,25,4,Dfa,Cold,rotation,48.91,mixed,,
US-Ne3,FLUXNET,2001,2013,CRO,363,41.17967,-96.43965,Mead - rainfed maize-soybean rotation site,25,4,Dfa,Cold,rotation,48.91,mixed,,
US-ORv,FLUXNET,2011,2011,WET,221,40.0201,-83.0183,Olentangy River Wetland Research Park,25,4,Dfa,Cold,C3,33.28,,,
US-PFa,FLUXNET,1995,2014,MF,470,45.9459,-90.2723,Park Falls/WLEF,26,4,Dfb,Cold,C3,2.6,,,
US-SRC,FLUXNET,2008,2014,MF,950,31.9083,-110.8395,Santa Rita Creosote,6,2,BSh,Arid,C3,55.39,,,
US-SRM,FLUXNET,2004,2014,WSA,1120,31.8214,-110.8661,Santa Rita Mesquite,6,2,BSh,Arid,C3,55.39,,,
US-Sta,FLUXNET,2005,2009,OSH,2069,41.3966,-106.8024,Saratoga,7,2,BSk,Arid,C3,0.16,,,
US-Syv,FLUXNET,2001,2014,MF,540,46.242,-89.3477,Sylvania Wilderness Area,26,4,Dfb,Cold,C3,0,,,
US-Ton,FLUXNET,2001,2014,WSA,177,38.4316,-120.96598,Tonzi Ranch,8,3,Csa,Temperate,C3,0,,,
US-Tw3,FLUXNET,2013,2014,CRO,-9,38.1159,-121.6467,Twitchell Alfalfa,8,3,Csa,Temperate,C3,1.03,,,
US-Twt,FLUXNET,2009,2014,CRO,-7,38.1087204,-121.6531,Twitchell Island,8,3,Csa,Temperate,C3,1.03,The Twitchell Island site is a rice paddy that is owned by the state and managed by the California Department of Water Resource,,https://ameriflux.lbl.gov/sites/siteinfo/US-Twt
US-Var,FLUXNET,2000,2014,GRA,129,38.4133,-120.9507,Vaira Ranch- Ione,8,3,Csa,Temperate,C3,0,"C3 annual grass, purple false brome, ",,
US-WCr,FLUXNET,1999,2014,DBF,520,45.8059,-90.0799,Willow Creek,26,4,Dfb,Cold,C3,2.6,,,
US-WPT,FLUXNET,2011,2013,WET,175,41.464639,-82.996157,Winous Point North Marsh,25,4,Dfa,Cold,C3,0,,,
US-Whs,FLUXNET,2007,2014,OSH,1370,31.7438,-110.0522,Walnut Gulch Lucky Hills Shrub,7,2,BSk,Arid,C3,55.39,,,
US-Wi0,FLUXNET,2002,2002,ENF,349,46.618778,-91.081444,Young red pine (YRP),26,4,Dfb,Cold,C3,4.14,,,
US-Wi1,FLUXNET,2003,2003,DBF,352,46.730472,-91.232944,Intermediate hardwood (IHW),26,4,Dfb,Cold,C3,4.14,,,
US-Wi2,FLUXNET,2003,2003,ENF,395,46.686889,-91.152833,Intermediate red pine (IRP),26,4,Dfb,Cold,C3,4.14,,,
US-Wi3,FLUXNET,2002,2004,DBF,411,46.634722,-91.098667,Mature hardwood (MHW),26,4,Dfb,Cold,C3,4.14,,,
US-Wi4,FLUXNET,2002,2005,ENF,352,46.739333,-91.16625,Mature red pine (MRP),26,4,Dfb,Cold,C3,4.14,,,
US-Wi5,FLUXNET,2004,2004,ENF,353,46.653083,-91.085806,Mixed young jack pine (MYJP),26,4,Dfb,Cold,C3,4.14,,,
US-Wi6,FLUXNET,2002,2003,OSH,371,46.624889,-91.298222,Pine barrens #1 (PB1),26,4,Dfb,Cold,C3,4.14,,,
US-Wi7,FLUXNET,2005,2005,OSH,335,46.649111,-91.069278,Red pine clearcut (RPCC),26,4,Dfb,Cold,C3,4.14,,,
US-Wi8,FLUXNET,2002,2002,DBF,348,46.722333,-91.252417,Young hardwood clearcut (YHW),26,4,Dfb,Cold,C3,4.14,,,
US-Wi9,FLUXNET,2004,2005,ENF,350,46.618778,-91.081444,Young Jack pine (YJP),26,4,Dfb,Cold,C3,4.14,,,
US-Wkg,FLUXNET,2004,2014,GRA,1531,31.7365,-109.9419,Walnut Gulch Kendall Grasslands,7,2,BSk,Arid,C4,40.93,"Historically and at the beginning of this study, the grassland was covered mainly by a diverse mosaic of C4 bunchgrasses (Bouteloua eriopoda, Bouteloua hirsuta, Hilaria belangeri, and Aristida hamulosa) [Weltz et al., 1994] interspersed with C3 shrubs (Calliadra eriophylla, Dalea formosam, Krameria parvifolia, Prosopis glandulosa, Yucca elata, and Isocoma tenuisecta). Peak leaf area index (LAI) was estimated at ∼1 with ∼40% canopy cover [Nouvellon et al., 2001]. Following the peak of the drought (2003–2006), most native bunchgrasses were dead with widespread shrub mortality, and the grassland since 2007 has been dominated by Lehmann lovegrass (Eragrostis lehmanniana). ",From Maoya's notes,https://ameriflux.lbl.gov/sites/siteinfo/US-Wkg
ZM-Mon,FLUXNET,2000,2009,DBF,1053,-15.4391,23.2525,Mongu,11,3,Cwa,Temperate,C3,62.17,,,
CA-Ca1,AmeriFlux,1996,2010,ENF,300,49.8673,-125.3336,British Columbia - 1949 Douglas-fir stand,15,3,Cfb,Temperate,C3,0.02,,,
CA-Ca2,AmeriFlux,1999,2010,ENF,300,49.8705,-125.2909,British Columbia - Clearcut Douglas-fir stand (harvested winter 1999/2000),9,3,Csb,Temperate,C3,0.02,,,
CA-Ca3,AmeriFlux,2001,2010,ENF,,49.5346,-124.9004,British Columbia - Pole sapling Douglas-fir stand,9,3,Csb,Temperate,C3,0,,,
CA-Cbo,AmeriFlux,1994,2014,DBF,120,44.3167,-79.9333,"Ontario - Mixed Deciduous, Borden Forest Site",26,4,Dfb,Cold,C3,1.09,,,
CA-Gro,AmeriFlux,2003,2014,MF,340,48.2167,-82.1556,"Ontario - Groundhog River, Boreal Mixedwood Forest",26,4,Dfb,Cold,C3,0,,,
CA-NS1,AmeriFlux,2001,2005,ENF,260,55.8792,-98.4839,UCI-1850 burn site,27,4,Dfc,Cold,C3,0,,,
CA-NS2,AmeriFlux,2001,2005,ENF,260,55.9058,-98.5247,UCI-1930 burn site,27,4,Dfc,Cold,C3,0,,,
CA-NS3,AmeriFlux,2001,2005,ENF,260,55.9117,-98.3822,UCI-1964 burn site,27,4,Dfc,Cold,C3,0,,,
CA-NS5,AmeriFlux,2001,2005,ENF,260,55.8631,-98.485,UCI-1981 burn site,27,4,Dfc,Cold,C3,0,,,
CA-NS6,AmeriFlux,2001,2005,OSH,244,55.9167,-98.9644,UCI-1989 burn site,27,4,Dfc,Cold,C3,0,,,
CA-Qc2,AmeriFlux,2007,2010,MF,,49.7598,-74.5711,Quebec - 1975 Harvested Black Spruce (HBS75),27,4,Dfc,Cold,C3,0,,,
CA-Qfo,AmeriFlux,2003,2010,ENF,382,49.6925,-74.3421,"Quebec - Eastern Boreal, Mature Black Spruce",27,4,Dfc,Cold,C3,0,,,
CA-SF2,AmeriFlux,2001,2006,ENF,520,54.2539,-105.8775,"Saskatchewan - Western Boreal, forest burned in 1989",27,4,Dfc,Cold,C3,0.07,,,
CA-SJ2,AmeriFlux,2002,2010,ENF,580,53.945,-104.649,"Saskatchewan - Western Boreal, Jack Pine forest harvested in 2002",27,4,Dfc,Cold,C3,0.51,,,
