site,site_long,pi,lat_icos,lon_icos,Utc Offset,classid_icos,Projects,Fluxes,Mean Annual Temperature,Mean Annual Precpitation,Slope,Exposure,Prevailing Wind Direction,Mean Water Table Depth,Days with snow cover,,
IT-LMa,La Mandria,Fabio Petrella,45.15258,7.58259,1,DBF,CarboEuropeIP (EU-FP6)|CarboItaly (IT-FISR),,11.6,1030,Flat,Flat,no prevailing wind direction,-9999,,,
IT-Lpd,Lampedusa,Meloni Daniela,35.5252,12.5365,,OSH,,CO2-E,19,315,Flat,S,NNW,-9999,0,,
IT-Lsn,Lison,Andrea Pitacco,45.740481,12.750297,1,OSH,,CO2-E|H-E|H2O-E|LE-E,13.1,1083,Flat,FLAT,NNE,1.5,0,,
IT-Mal,Malga Arpaco,Carlo Calfapietra,46.11402,11.70334,1,GRA,GreenGrass (EU-FP5)|CarboEuropeIP (EU-FP6)|CarboItaly (IT-FISR)|The project of Interest NextData|The rpoject of Interest NextData,,6.3,1200,,,,-9999,,,
IT-MBo,Monte Bondone,Damiano Gianelle,46.014678,11.045831,1,GRA,GHG-Europe (EU-FP7)|CarboMont (EU-FP5)|CarboEuropeIP (EU-FP6)|CarboItaly (IT-FISR),CO2-E|H-E|LE-E,5.1,1214,Flat,FLAT,,-9999,,,
IT-MPn,Monte Pino ,Nazzareno Diodato,41.1073,14.7416,,CRO,,,,,,,,-9999,,,
IT-Mrs,Marsciano,Alessandra Vinci,42.927225,12.3651,1,CRO,,CO2-E|H-E|LE-E,,,,,,-9999,,,
IT-MsN,Masseria Nola,Alfonso Senatore,39.71472,16.27806,,DBF,,CO2-E|H-E|LE-E,16,800,Flat,,195,49,,,
IT-MtM,Muntatschinig Meadow,Georg Wohlfahrt,46.687021,10.579757,1,GRA,,CO2-E|H-E|H2O-E|LE-E,6.5,550,Strong Slope (>10%),SW,S,-9999,120,,
IT-MtP,Muntatschinig Pasture,Georg Wohlfahrt,46.684285,10.585237,1,GRA,,CO2-E|H-E|H2O-E|LE-E,6.5,550,Strong Slope (>10%),SW,S,-9999,120,,
IT-Neg,Negrisia - Ponte di Piave,Andrea Pitacco,45.74756389,12.44673056,1,CRO,CarboItaly (IT-FISR),,13.1,,Flat,,ENE,-9999,,,
IT-Niv,Nivolet,Antonello Provenzale,45.49091,7.13943,1,GRA,,CO2-E|H-E|LE-E,NULL,,Flat,NULL,NULL,-9999,,,
IT-Noe,Arca di Noe - Le Prigionette,Donatella Spano| Pierpaolo Duce,40.606176,8.151694,1,CSH,CarboItaly (IT-FISR),CO2-E|H-E|H2O-E|LE-E,15.9,588,Flat,FLAT,W,-9999,0,,
IT-Non,Nonantola,Franco Miglietta,44.69019,11.09109,1,MF,CarboEuroFlux (EU-FP5)|CarboEuropeIP (EU-FP6)|CarboItaly (IT-FISR),,14.5,1000,Flat,,275,-9999,,,
IT-OVr,Osservatorio Valerio,Carolina Vagnoli,43.912014,12.904041,1,URB,,CO2-E|H-E|LE,,,,,,-9999,,,
IT-OXm,Osservatorio Ximeniano,Beniamino Gioli,43.774465,11.255111,1,URB,,CO2-E|H-E|LE-E,,,,,,-9999,,,
IT-PCm,Parco Urbano di Capodimonte,Carlo Calfapietra,40.8741,14.2504,1,EBF,,BVOCs-E|CH4-E|CO2-E|H-E|Isotopes-E|LE-E|N2O|O3-E,16.4,846,Flat,,,-9999,,,
IT-Pia,Pianosa,Vaccari Francesco Primo,42.5838694,10.0784,1,OSH,CarboEuropeIP (EU-FP6)|CarboItaly (IT-FISR),,16,460,,,N,-9999,,,
IT-PT1,Parco Ticino forest,Ignacio Goded| Giovanni Manca,45.20087222,9.061038889,1,DBF,CarboEuroFlux (EU-FP5)|CarboEuropeIP (EU-FP6),CO2-E|H-E|LE-E,12.7,984,Flat,,E,-9999,,,
IT-Ren,Renon,Leonardo Montagnani| Enrico Tomelleri,46.58686,11.43369,1,ENF,GHG-Europe (EU-FP7)|EuroFlux (EU-FP4)|CarboEuroFlux (EU-FP5)|CarboEuropeIP (EU-FP6)|CarboItaly (IT-FISR),,4.7,809.3,Strong Slope (>10%),220° from N,350° N,-9999,,,
IT-Ro1,Roccarespampani 1,Dario Papale,42.40812,11.93001,1,DBF,CarboEuroFlux (EU-FP5)|CarboEuropeIP (EU-FP6)|CarboItaly (IT-FISR),CO2-E|H-E|LE-E,15.15,876.2,,,45,-9999,,,
IT-Ro2,Roccarespampani 2,Dario Papale,42.39026,11.92093,1,DBF,CarboEuroFlux (EU-FP5)|CarboEuropeIP (EU-FP6)|CarboItaly (IT-FISR)|IMECC (EU-FP6)|GHG-Europe (EU-FP7),CH4-C|CO2-E|H-E|LE-E|N2O-C,15.15,876.2,,,,-9999,,,
IT-Ro3,Roccarespampani3,Dario Papale,42.37539,11.91542,1,CRO,GHG-Europe (EU-FP7)|CarboItaly (IT-FISR),CO2-E|H-E|LE-E,15.15,876.2,,,,-9999,,,
IT-Ro4,Roccarespampani4,Dario Papale,42.37333,11.91922,1,CRO,CarboItaly (IT-FISR),CO2-E|H-E|LE-E,15.15,876,,,,-9999,,,
IT-Rut,Rutigliano,Rossana M. Ferrara,40.993753,17.03274,,CRO,,CO2-E|H-E|LE-E,15.7,600,,,,-9999,,,
IT-Sas,Sassari,Donatella Spano,40.716957,8.575956,,URB,,CO2-E|H-E|LE-E,16,515.8,Gentle slope (<2 %),NW,NW,-9999,,,
IT-SMc,San Marcellino,Daniela Famulari,40.84725555,14.25781666,1,URB,,Aerosols-E|BVOCs-E|CH4-E|CO2-E|H-E|LE-E|O3-E,21,1000,Flat,FLAT,S,10,0,,
IT-SPC,San Pietro Capofiume,Giovanni Bonafe,44.653869,11.62277,1,GRA,,CO2-E|H-E|LE-E,14.6,644,Flat,,W,158,,,
IT-SR2,San Rossore 2,Nicola Arriga,43.732022,10.29091,1,ENF,,CO2-E|H-E|H2O-E|LE-E,14.2,920,flat,flat,W,-9999,0,,
IT-SRo,San Rossore,Ignacio Goded| Giovanni Manca,43.72786111,10.28444444,1,ENF,Medeflu (EU-FP4)|CarboEuroFlux (EU-FP5)|CarboEuropeIP (EU-FP6),CO2-E|H-E|LE-E,14.2,920,Flat,,280,-9999,,,
IT-Ter,Terranova,Donatella Spano,40.70377778,9.398166667,,MF,,,,0,,,,-9999,,,
IT-To1,Tolfa wet,Dario Papale,42.18967363,11.92155414,1,EBF,MIND (EU-FP5),,,,,,,-9999,,,
IT-To2,Tolfa dry,Dario Papale,42.18967363,11.92155414,1,EBF,MIND (EU-FP5),,,,,,,-9999,,,
IT-Tol,Tolfa,Dario Papale,42.18967,11.92155,1,EBF,CarboEuropeIP (EU-FP6)|MIND (EU-FP5)|CarboItaly (IT-FISR),CO2-E|H-E|LE-E,14.99,781,,,,-9999,,,
IT-Tor,Torgnon,Edoardo Cremonese,45.84444,7.578055,1,GRA,PhenoALP e-PHENO, ALCOTRA 07-13|ARPA Aosta Valley,CO2-E/C|H-E|H2O-E|LE-E,2.9,920,Gentle slope (<2 %),S,N,-9999,200,
IT-TrF,Torgnon-LD,Marta Galvagno,45.82376,7.56089,1,DNF,,CO2-E|CO2-C|H-E|LE-E,3.1,1100,"Significant Slope (>5%, <10%)",120,140,-9999,220,,
IT-VdA,Valle dell'Adige,Damiano Gianelle,46.19678,11.11354,1,CRO,CarboItaly (IT-FISR),,11.8,822,,,,-9999,,,
IT-Vig,Vigevano,Ignacio Goded| Giovanni Manca,45.29591,8.87554,1,DBF,,CO2-E|H-E|LE-E,15.3,810,,,,-9999,,,
ML-AgG,Agoufou G,Laurent Kergoat| Franck Timouk,15.34322,-1.48067,,GRA,CarboAfrica (EU-FP6),,29.7,350,,,,-9999,,,
ML-AgS,Agoufou S,Laurent Kergoat,15.49961667,1.390083333,,,,,,,,,,-9999,,,
ML-Bam,Bamba,Laurent Kergoat,17.09838,1.4011655,,,CarboAfrica (EU-FP6),,,,,,,-9999,,,
ML-Kem,Kelma,Laurent Kergoat| Franck Timouk,15.2237,-1.5662,,DBF,CarboAfrica (EU-FP6),,29.6,350,,,,-9999,,,
NE-WaD,Wankama Degraded Fallow,Bernard Cappelaere,13.6463167,2.64301667,,CRO,CarboAfrica (EU-FP6),,,,,,,-9999,,,
NE-WaF,Wankama Fallow,Bernard Cappelaere,13.64758138,2.63368891,,CRO,CarboAfrica (EU-FP6),,28.45,519,Gentle slope (<2 %),125° from N,WSW,-9999,,,
NE-WaM,Wankama Millet,Bernard Cappelaere,13.644017,2.62984816,,CRO,,,28.45,519,Gentle slope (<2 %),125° from N,WSW,-9999,,,
NL-Amd,Amsterdam,Gert-Jan Steeneveld,52.3665,4.8929,1,URB,,CH4-E|CO2-E|H-E|LE-E,10.7,850,Flat,FLAT,SW,0.5,18,,
NL-Ca1,Cabauw,Eddy Moors,51.971,4.927,1,GRA,CarboEuropeIP (EU-FP6)|GHG-Europe (EU-FP7),CO2-E|H-E|LE-E,10,800,,-,W-SW,-9999,,,
NL-Dij,Dijkgraaf,Eddy Moors,51.99206111,5.645944444,1,CRO,CarboEuropeIP (EU-FP6),CO2-E|H-E|LE-E,908,800,Flat,,S-SW,-9999,,,
NL-Haa,Haastrecht,Eddy Moors,52.0036111,4.80555556,1,GRA,,CO2-E|H-E|LE-E,9.8,786,Flat,,W -SW,-9999,,,
NL-Hor,Horstermeer,Ype van der Velde - Geert Hensgens,52.24035,5.071301,1,GRA,CarboEuropeIP (EU-FP6)|IMECC (EU-FP6)|GHG-Europe (EU-FP7),CH4-E|CH4-C|CO2-E|CO2-C|H-E|LE-E|N2O-C,10,800,Flat,,270,-9999,,,
NL-Lan,Langerak,Eddy Moors,51.95360184,4.902900219,1,CRO,,CO2-E|H-E|LE-E,9.8,786,Flat,,W - SW,-9999,,,
NL-Lel,Lelystad,Arjan Hensen,52.52423818,5.551615935,,GRA,,,10,780,,,,-9999,,,
NL-Loo,Loobos,Bart Kruijt,52.16644722,5.74355,1,ENF,EuroFlux (EU-FP4)|CarboEuroFlux (EU-FP5)|CarboEuropeIP (EU-FP6)|IMECC (EU-FP6)|GHG-Europe (EU-FP7),CO2-E|H-E|LE-E,9.8,786,,,W-SW,-9999,,,
NL-Lut,Lutjewad,Eddy Moors,53.39892222,6.356027778,1,CRO,,CO2-E|H-E|LE-E,9.8,800,Flat,,S-SW,-9999,,,
NL-Mol,Molenweg,Eddy Moors,51.65,4.63908333,1,CRO,,CO2-E|H-E|LE-E,9.8,800,Flat,,W-SW,-9999,,,
NL-Re1,Reeuwijk 1,Elmar Veenendaal,51.9,4.5,,GRA,,,,,,,,-9999,,,
NL-Re2,Reeuwijk 2,Elmar Veenendaal,51.9,4.5,,GRA,,,,,,,,-9999,,,
NL-Vre,Vredepeel,Eddy Moors,51.53166667,5.844111111,1,CRO,,CO2-E|H-E|LE-E,9.8,800,Flat,,S-SW,-9999,,,
NL-Waa,Oostwaard,Eddy Moors,52.83159444,4.909122222,1,CRO,,CO2-E|H|LE,9.8,800,,,,-9999,,,
NL-Wgn,Wageningen,Reinder Ronda,51.981,5.619,,GRA,,CO2-E|H-E|LE-E,10.1,860,Flat,FLAT,SW,-9999,,,
NL-Zee,Zeewolde,Eddy Moors,52.33480278,5.372588889,1,CRO,,,9.8,800,,,,-9999,,,
NO-And,Andøya,Daniel P. Rasse,69.14278,16.02222,1,WET,,,3.6,1060,,,,-9999,,,
NO-Fns,Finse,Lena Tallaksen,60.594,7.527,,OSH,,CO2-E|H-E|LE-E,NULL,,NULL,NULL,NULL,-9999,,,
NO-Hur,Hurdal,Holger Lange,60.37163292,11.07948988,1,,,,,,,,,-9999,,,
PA-SPn,Sardinilla Plantation,Nina Buchmann| Sebastian Wolf,9.318139833,-79.6346,-5,DBF,Agroforestry Panama|North-South Centre of ETH Zurich,CO2-E|H-E|LE-E,26.5,2350,Undulated/Variable,FLAT,,-9999,0,,
PA-SPs,Sardinilla-Pasture,Nina Buchmann| Sebastian Wolf,9.313779833,-79.63142983,-5,GRA,Agroforestry Panama|North-South Centre of ETH Zurich,CO2-E|H-E|LE-E,26.5,2350,Gentle slope (<2 %),S,,-9999,0,,
PH-RIf,Philippines Rice Institute flooded,Ma. Carmelita Alberto,14.14119,121.26526,8,CRO,IRRI,CH4-E|CO2-E|H-E|H2O-E|LE-E,27.5,2112,Gentle slope (<2 %),NE,NE,-9999,0,,
PH-RIn,Philippines Rice Institute not-flooded,Ma. Carmelita Alberto,14.14503,121.26094,8,CRO,IRRI,,27.5,2075,,,,-9999,,,
PL-Ans,Annoslaw,Wlodzimierz Pawlak,51.750319,20.41762,,CRO,,CO2-E|H-E|LE-E,NULL,,Flat,NULL,NULL,-9999,,,
PL-Bdg,Bydgoszcz,Tymoteusz Bolewski,53,17.96,,GRA,,CH4-C|CO2-C|N2O,8.4,512,Flat,,,0.62,,,
PL-Brd,Brody,Radoslaw Juszczak,52.434181,16.299523,1,CRO,GHG-Europe (EU-FP7),CH4-C|CO2-E|CO2-C|LE-E|N2O-C,8.3,536,Flat,,W,166,40,,
PL-Kpt,Kopytkowo,Krzysztof Fortuniak,53.591854,22.892385,,WET,,CH4-E|CO2-E|H-E|H2O-E|LE-E,7,595,Flat,FLAT,SW,-9999,,,
PL-Krk,Krakow,Miroslaw Zimnoch,50.067021,19.912977,,URB,,CO2-E|H-E|LE-E,NULL,,Flat,NULL,WSW,-9999,,,
PL-Lz1,Lodz1,Wlodzimierz Pawlak,51.762514,19.445326,,URB,,CH4-E|CO2-E|H-E|LE-E,NULL,,Flat,NULL,NULL,-9999,,,
PL-Lz2,Lodz2,Wlodzimierz Pawlak,51.773307,19.480993,,URB,,CO2-E|H-E|LE-E,NULL,,Flat,NULL,NULL,-9999,,,
PL-Lz3,Lodz3,Wlodzimierz Pawlak,51.800143,19.411944,,URB,,CH4-E|CO2-E|H-E|LE-E,NULL,,Flat,NULL,NULL,-9999,,,
PL-Pol,Polana,Mindáš Jozef,48.63333333,19.53333333,,,,,5.5,860,,,,-9999,,,
PL-Tcz,Tuczno,Marek Urbaniak,53.19295,16.09748333,1,ENF,,,9,573,4,280,200,10,50,,
PL-wet,Rzecin (PolWet),Bogdan H. Chojnicki,52.7623,16.3095,1,WET,CarboEuropeIP (EU-FP6)|GHG-Europe (EU-FP7),CO2-E|H-E|H2O-E,8.5,526,Flat,FLAT,W,-9999,,,
PL-Wlw,Wieclawice,Tymoteusz Bolewski,52.84,18.31,,CRO,,CO2-C,8.5,500,Flat,,,-9999,,,
PT-Cor,Coruche,Filipe Costa e Silva,39.13841389,-8.33268889,,EBF,IMECC (EU-FP6),CO2-E|H-E|LE-E,15.9,680,,,NE,-9999,,,
PT-Esp,Espirra,Gabriel Pita,38.63940048,-8.601799965,,EBF,CarboEuroFlux (EU-FP5)|CarboEuropeIP (EU-FP6),,16,709,,,,-9999,,,
PT-Mi1,Mitra II (Evora),Joao Santos Pereira,38.54063889,-8.000055556,,EBF,CarboEuroFlux (EU-FP5)|CarboEuropeIP (EU-FP6),,15.4,665,,,,-9999,,,
PT-Mi2,Mitra IV (Tojal),Casimiro Pio,38.47650146,-8.024550438,,GRA,CarboEuropeIP (EU-FP6),,15.4,665,Gentle slope (<2 %),S,NW,-9999,,,
RU-Ch2,Cherski reference,Mathias Goeckede,68.61689,161.35089,11,WET,,CH4-E/C|CO2-E/C|H-E|LE-E,-12.5,200,Flat,,150,-9999,,,
RU-Che,Cherski,Lutz Merbold| Mathias Goeckede,68.61304,161.34143,11,WET,TCOS Siberia (EU-FP5),CH4-E|CO2-E|H-E|LE-E,-11,197,Flat,FLAT,150,-9999,,,
RU-Cok,Chokurdakh,Ype van der Velde - Geert Hensgens,70.82913889,147.4942778,11,OSH,TCOS Siberia (EU-FP5),CH4-C|CO2-E|H-E|LE-E,-14.3,232,Flat,,,-9999,250,,
RU-Fy2,Fyodorovskoye dry spruce stand,Andrej Varlagin,56.447603,32.901878,3,ENF,RSF, project 21-14-00209,CH4-E|CO2-E|H-E|LE-E,3.9,711,Gentle slope (<2 %),,NW,1,100,
RU-Fy3,Fyodorovskoye Clear-cut,Vadim Mamkin,56.4435,33.0478,3,ENF,State assignment FFER-2022-0002,CO2-E|H-E|H2O-E|LE-E,5.3,955,Hilltop,FLAT,S,-9999,100,,
RU-Fy4,Fyodorovskoye bog,Julia Kurbatova,56.4727,33.0413,,WET,,CO2-E|H-E|LE-E,5.7,778,Flat,FLAT,SW,0.2,100,,
RU-Fyo,Fyodorovskoye,Andrej Varlagin,56.4615278,32.9220833,3,ENF,RSF, project 21-14-00209|TCOS Siberia (EU-FP5),Aerosols|CH4-C|CO2-E|H-E|LE-E|N2O-C,3.9,711,Flat,FLAT,NW,0.2,100,
RU-Ha1,Hakasia steppe,Dario Papale| Luca Belelli,54.72517,90.00215,7,GRA,TCOS Siberia (EU-FP5),CO2-E|H-E|LE-E,,,,,,-9999,,,
RU-Ha2,Hakasia 5yr,Dario Papale| Luca Belelli,54.77301,89.95664,7,GRA,TCOS Siberia (EU-FP5),CO2-E|H-E|LE-E,,,,,,-9999,,,
RU-Ha3,Hakasia 10 yr,Dario Papale| Luca Belelli,54.70455,90.07785,7,GRA,TCOS Siberia (EU-FP5),CO2-E|H-E|LE-E,,,,,,-9999,,,
RU-Krg,Kurungnakh,Torsten Sachs,72.298333,126.173333,,WAT,,CH4-E|CO2-E|H-E|LE-E,-12.5,,Flat,FLAT,NULL,-9999,,,
RU-KsC,Kaskara Crop,Elisa Fleischer,57.25146,65.96931,,CRO,,CH4-E|CO2-E|H-E|LE-E,2.5,480,Flat,W,NW,1,160,,
RU-KsG,Kaskara Grass,Elisa Fleischer,57.2528,65.99321,,GRA,,CH4-E|CO2-E|H-E|LE-E,2.5,480,Flat,W,NW,1,160,,
RU-Ndm,Nadym,Goncharova Olga,65.185,72.525,,GRA,,CH4-C|CO2-C,,,,,,-9999,,,
RU-Sam,Samoylov,Lars Kutzbach,72.3738,126.4958,9,GRA,,CH4-E/C|CO2-E/C|H-E|H2O-E|LE-E,,,Flat,FLAT,S,-9999,220,,
RU-SkP,Yakutsk Spasskaya Pad larch,Trofim Maximov,62.255,129.168,9,DNF,,CO2-E/C|H-E|LE-E,,,,,,-9999,,,
RU-Tks,Tiksi,Mika Aurela,71.594267,128.887817,9,GRA,,CH4-E|CO2-E|H-E|LE-E,-12.7,323,Gentle slope (<2 %),S,,-9999,235,,
RU-UPo,Ust Pojeg,Lars Kutzbach Martin Wilmking,61.93412778,50.22690278,,ENF,,,1.2,587.1,,,,-9999,,,
RU-Uts,Uteshevo,Elisa Fleischer,57.154907,65.343002,,GRA,,CH4-E|CO2-E|H-E|LE-E,2.5,480,Flat,W,W,-9999,160,,
RU-Vrk,Seida/Vorkuta,Thomas Friborg| Christina Biasi,67.05467987,62.94046783,3,CSH,,CH4-E/C|CO2-E/C|Isotopes-C|N2O-C,-5.6,501,,,270,0.5,245,,
RU-Ypn,Yakutsk Pine,Martin Heimann,62.2414,129.6506,,DNF,,,,,,,,-9999,,,
RU-Zbo,Zotino Bog,Martin Heimann,60.75,89.3833,,ENF,,,,,,,,-9999,,,
RU-Zfw,Zotino forest West,Martin Heimann,60.75,89.3833,,ENF,,,,,,,,-9999,,,
RU-Zot,Zotino,Corinna Rebmann ,60.80080032,89.35079956,7,WSA,TCOS Siberia (EU-FP5),,,,,,,-9999,,,
SD-Dem,Demokeya,Jonas Ardo| Eltahir Bashir,13.2829,30.4783,3,SAV,CarboAfrica (EU-FP6),,26,320,,,,-9999,,,
SE-Asa,Asa,Leif Klemedtsson,57.17226111,14.8001,,ENF,,,5.5,688,,,,-9999,,,
SE-Deg,Degero,Mats Nilsson,64.182029,19.556539,1,WET,CarboEuropeIP (EU-FP6),CH4-E/C|CO2-E|H-E|LE-E,1.2,523,,,,-9999,,,
SE-Ers,Erssjön,Per Weslien,58.37112,12.16125,,WAT,,CH4-E|CO2-E|H-E|LE-E,6.9,980,Flat,FLAT,SW,0,60,,
SE-Faj,Fäjemyr,Magnus Lund,56.26546944,13.55351389,1,WET,,CH4|CO2-E|CO2-C|H-E|LE-E,6.2,700,,,,-9999,,,
SE-Fla,Flakaliden,Anders Lindroth,64.11277777,19.45694444,1,ENF,EuroFlux (EU-FP4)|CarboEuroFlux (EU-FP5),,1.9,587,,,,-9999,,,
SE-Fos,Följesjön,Per Weslien,58.37577,12.15399,,WET,,CH4-E|CO2-E|H-E|LE-E,6.9,980,Valley,FLAT,SW,0.1,60,,
SE-Htm,Hyltemossa,Michal Heliasz,56.09763,13.41897,1,ENF,,CO2-E|H-E|H2O-E|LE-E,7.4,707,,,,-9999,,,
SE-Kno,Knottåsen,Anders Lindroth,60.99825,16.21727778,1,ENF,CarboEuropeIP (EU-FP6),,3.4,613,,,,-9999,,,
SE-Lnn,Lanna,Leif Klemedtsson| Per Weslien,58.34062958,13.10176754,1,CRO,,CO2-E|H-E|LE-E|N2O-E,6,558,Flat,FLAT,SW,1,75,,
SE-Myc,Mycklemossen,Per Weslien,58.36503,12.1694,,WET,,CH4-E|CO2-E|H-E|LE-E,6.9,980,Flat,FLAT,SW,0.1,60,,
SE-Nor,Norunda,Anders Lindroth| Meelis Mölder,60.08649722,17.47950278,1,ENF,CarboEuropeIP (EU-FP6)|IMECC (EU-FP6)|EuroFlux (EU-FP4)|CarboEuroFlux (EU-FP5)|ICOS Sweden,,5.5,527,,,,-9999,,,
SE-Oes,Oestergarnsholm,Anna Rutgersson,57.4301,18.98415,,WAT,,CO2-E|H-E|LE-E,7,383,Flat,SSE,SW,-9999,,,
SE-Ros,Rosinedal-3,Matthias Peichl,64.1725,19.738,1,ENF,,CO2-E|H-E|LE-E,1.8,614,Flat,FLAT,WNW,2,150,,
SE-Sgr,Skogaryd,Per Weslien,58.36387,12.14983,,ENF,,CO2-E|H-E|LE-E,6.9,980,"Medium Slope (>2 %, <5%)",W,SW,0.5,60,,
SE-Sk1,Skyttorp 1,Achim Grelle,60.125,17.91805556,1,ENF,CarboEuropeIP (EU-FP6),,5.5,527,Gentle slope (<2 %),,SE,-9999,,,
SE-Sk2,Skyttorp 2,Anders Lindroth,60.12966667,17.84005556,1,ENF,CarboEuropeIP (EU-FP6),,5.5,527,,,SE,-9999,,,
SE-St1,Stordalen grassland,Joachim Jansen| Thomas Friborg,68.3541488,19.050333,1,WET,,CH4-E|CO2-E|H-E|H2O-E|LE-E,-0.7,303.3,Undulated/Variable,FLAT,ESE,-9999,175,,
SE-St2,Stordalen forest,Anders Lindroth,68.35424444,19.04714444,,DBF,,,-0.8,299,,,,-9999,,,
SE-Sto,Stordalen Palsa Bog (ICOS),Erik Lundin,68.35594288,19.04520892,1,WET,,CH4-E|CO2-E|H-E|LE-E,-0.14,322,,,,-9999,,,
SE-Svb,Svartberget,Matthias Peichl,64.25611,19.7745,1,ENF,,CO2-E|H-E|H2O|LE-E,1.8,614,Significant Slope (7%),SE,SW,-9999,168,,
SG-TKr,Telok Kurau,Matthias Roth,1.314294,103.911197,,URB,,CO2-E|H-E|LE-E,27,2340,Flat,FLAT,NULL,-9999,0,,
SJ-Adv,Adventdalen,Torben Christensen,78.186,15.923,1,WET,,CH4-C|CO2-E/C|H-E|LE-E,,,Flat,,,-9999,240,,
SJ-Blv,Bayelva Spitsbergen,Julia Boike,78.92163086,11.83108521,1,BSV,,CO2-E|H-E|H2O-E|LE-E,-4.5,400,"Medium Slope (>2 %, <5%)",S,ESE,-9999,295,,
SK-Ta1,Tatra Jamy,Dario Papale,49.15833333,20.26111111,1,ENF,CarboEuropeIP (EU-FP6),,,,,,,-9999,,,
SK-Ta2,Tatra Vysne Hagy,Dario Papale,49.12638889,20.10777778,1,ENF,CarboEuropeIP (EU-FP6),,,,,,,-9999,,,
SK-Tat,Tatra Danielov Dom,Dario Papale,49.1207778,20.1635,1,ENF,CarboEuropeIP (EU-FP6),,,,,,,-9999,,,
SN-Dhr,Dahra,Torbern Tagesson,15.40278,-15.43222,,SAV,,CO2-E|H-E|LE-E,29,404,Flat,,200,-9999,,,
SN-Nkr,Niakhar,Olivier Roupsard,14.49581,-16.45357,,CRO,,CO2-E|H-E|H2O-E|LE-E,26.95,578,Flat,FLAT,NE,10,0,,
UA-Pet,Petrodolinskoe,Medinets Volodymyr,46.45614,30.33609,2,CRO,,,10.1,464,,,,-9999,,,
UG-Jin,Jinja,Matthew Saunders ,0.4,33.18333333,3,WET,,,23,1500,,,,-9999,,,
UK-AMo,Auchencorth Moss,Eiko Nemitz,55.792546,-3.2436918,,WET,CarboEuropeIP (EU-FP6),,7.4,900,Gentle slope (<2 %),,SW,-9999,,,
UK-Arn,Arnol,Rebekka Artz,58.322834,-6.600454,,WET,,CH4-E|CO2-E|H-E|LE-E,NULL,,NULL,NULL,NULL,-9999,,,
UK-Bam,Balmoral,Rebekka Artz,56.93,-3.16,,WET,,CH4-E|CO2-E|H-E|LE-E,NULL,,Gentle slope (<2 %),SW,SW,-9999,,,
UK-BBB,Bishop's Burton Bioenergy,Ross Morrison,53.86104,-0.4909216,,CRO,,CO2-E|H-E|LE-E,NULL,,Valley,S,SW,-9999,,,
UK-BBC,Bishop's Burton Cropland,Ross Morrison,53.86088,-0.4865083,,CRO,,CO2-E|H-E|LE-E,NULL,,Gentle slope (<2 %),S,SW,-9999,,,
UK-BnB,Ballynahone Bog,Ross Morrison,54.82326,-6.669835,,WET,,CH4-E|CO2-E|H-E|LE-E,9.9,825,Gentle slope (<2 %),NULL,SW,0.05,,,
UK-BtB,Beltie Burn,Mhairi Coyle,57.09048056,-2.597247222,,WET,,CH4-C|CO2-C,NULL,,Valley,FLAT,NULL,-9999,,,
UK-CLs,Cross Lochs,Pete Levy,58.370674,-3.9639542,,WET,,CH4-E|CO2-E|H-E|LE-E,NULL,,NULL,NULL,NULL,-9999,,,
UK-Cst,Cockshutts,Ross Morrison,53.84995,-2.773793,,CRO,,CO2-E|H-E|LE-E,NULL,,Flat,FLAT,SW,-9999,,,
UK-Dke,Dyke,Rebekka Artz,58.427264,-3.968809,,WET,,CH4-E|CO2-E|H-E|LE-E,NULL,,NULL,NULL,NULL,-9999,,,
UK-DkF,Dyke-FIRE,Rebekka Artz,58.431141,-3.9702661,,WET,,CH4-E|CO2-E|H-E|LE-E,NULL,,NULL,NULL,NULL,-9999,,,
UK-EBu,Easter Bush,Marc Sutton,55.866,-3.205777778,,GRA,CarboEuropeIP (EU-FP6)|GreenGrass (EU-FP5),,8,890,Gentle slope (<2 %),‘ from N,SW,-9999,,,
UK-Ech,Elchies,Rebekka Artz,57.505657,-3.3087757,,WET,,CH4-E|CO2-E|H-E|LE-E,NULL,,NULL,NULL,NULL,-9999,,,
UK-EHd,East Hendred Control,Ross Morrison,51.583199,-1.322469,,CRO,,CO2-E|H-E|LE-E,-1.322469,,Gentle slope (<2 %),S,SW,-9999,,,
UK-ESa,East Saltoun,John Moncrieff,55.9069444,-2.85861111,,CRO,CarboEuropeIP (EU-FP6),,8.5,600,,,SW,-9999,,,
UK-GaB,Garry Bog,Ross Morrison,55.10994,-6.529928,,WET,,CH4-E|CO2-E|H-E|LE-E,9.9,825,Flat,FLAT,WSW,0.1,,,
UK-Gnn,Glenullin,Ross Morrison,54.96185,-6.760763,,WET,,CH4-E|CO2-E|H-E|LE-E,9.9,825,Gentle slope (<2 %),NNE,WSW,0.1,,,
UK-Gri,Griffin,John Moncrieff,56.6072222,-3.79805556,,ENF,EuroFlux (EU-FP4)|CarboEuroFlux (EU-FP5)|CarboEuropeIP (EU-FP6)|IMECC (EU-FP6),,8.2,1200,"Significant Slope (>5%, <10%)",,,-9999,,,
UK-Gst,Girlsta,Rebekka Artz,60.230296,-1.240111,,WET,,CH4-E|CO2-E|H-E|LE-E,NULL,,NULL,NULL,NULL,-9999,,,
